TYPE NAME,BATHROOM,BEDROOM,Type Code,Unit Code
1A TYBE 1,3,3,1,1A
1A TYBE 2,3,3,2,1A
1A TYBE 3,3,3,3,1A
1A TYBE 4,3,3,4,1A
1A TYBE 5,3,3,5,1A
1A TYBE G1,1,2,G1,1A
1A TYBE G2,3,3,G2,1A
1A TYBE G3,3,3,G3,1A
1A TYBE G4,3,3,G4,1A
1A TYBE G5,3,3,G5,1A
1B TYBE 1-A,3,3,1-A,1B
1B TYBE 1-B,3,3,1-B,1B
1B TYBE 2-A,3,3,2-A,1B
1B TYBE 2-B,3,3,2-B,1B
1B TYBE 3-A,3,3,3-A,1B
1B TYBE 3-B,3,3,3-B,1B
1B TYBE 4-A,3,3,4-A,1B
1B TYBE 4-B,3,3,4-B,1B
1B TYBE G1-A,1,2,G1-A,1B
1B TYBE G1-B,3,3,G1-B,1B
1B TYBE G2-A,3,3,G2-A,1B
1B TYBE G2-B,3,3,G2-B,1B
1B TYBE G3-A,3,3,G3-A,1B
1B TYBE G3-B,3,3,G3-B,1B
1B TYBE G4-A,3,3,G4-A,1B
1B TYBE G4-B,3,3,G4-B,1B
3A TYBE 1-A,1,3,1-A,3A
3A TYBE 1-B,1,3,1-B,3A
3A TYBE 2-A,1,2,2-A,3A
3A TYBE 2-B,1,2,2-B,3A
3A TYBE 3-A,1,2,3-A,3A
3A TYBE 3-B,1,2,3-B,3A
3A TYBE 4-A,1,3,4-A,3A
3A TYBE 4-B,1,3,4-B,3A
3A TYBE G1-A,1,2,G1-A,3A
3A TYBE G1-B,1,2,G1-B,3A
3A TYBE G2-A,1,2,G2-A,3A
3A TYBE G2-B,1,2,G2-B,3A
3A TYBE G3-A,1,2,G3-A,3A
3A TYBE G3-B,1,2,G3-B,3A
3A TYBE G4-A,1,2,G4-A,3A
3A TYBE G4-B,1,2,G4-B,3A
2 TYBE 1,3,3,1,2
2 TYBE 2,1,3,2,2
2 TYBE 3,3,3,3,2
2 TYBE 4,3,3,4,2
2 TYBE G1,3,3,G1,2
2 TYBE G2,1,3,G2,2
2 TYBE G3,3,3,G3,2
2 TYBE G4,3,3,G4,2
3B TYBE 1,1,3,1,3B
3B TYBE 2,1,2,2,3B
3B TYBE 3,1,2,3,3B
3B TYBE 4,1,3,4,3B
3B TYBE G1,1,3,G1,3B
3B TYBE G2,1,2,G2,3B
3B TYBE G3,1,2,G3,3B
3B TYBE G4,1,3,G4,3B
