Row Number,Level,Building Type,Building Number,Unit Code,Floor Number,Unit Type,Gross Area,Gross Area Price,Outdoor Area,Total Area,Availability,Discount Amount,Discount Percentage,Total Price
1,1A,Building,17,17A04,Floor,Residential,175,23000,28.5,203.5,Available,253000,5%,4427500
2,1A,Building,17,17A05,Floor,Residential,194,24000,126.5,320.5,Available,2104800,27%,5587200
3,1A,Building,17,17A13,First,Residential,193,26000,0,193,Available,0,0%,5018000
4,1A,Building,17,17A14,First,Residential,175,23000,0,175,Available,0,0%,4025000
5,1A,Building,17,17A15,First,Residential,194,24000,0,194,Available,0,0%,4656000
6,1A,Building,17,17A25,Second,Residential,194,24000,0,194,Available,0,0%,4656000
7,1A,Building,17,17A35,Third,Residential,194,24000,0,194,Available,0,0%,4656000
8,1A,Building,17,17A41,Fourth,Residential,175,26000,0,175,Available,0,0%,4550000
9,1A,Building,17,17A45,Fourth,Residential,194,24000,0,194,Available,0,0%,4656000
10,3A,Building,18,18A03,Floor,Residential,109,25000,58,167,Available,1041250,25%,3133750
11,3A,Building,19,19A01,Floor,Residential,107,26000,151.5,258.5,Available,3382600,50%,3338400
12,3A,Building,19,19A02,Floor,Residential,109,23000,50.8,159.8,Available,917700,25%,2757700
13,3A,Building,19,19A03,Floor,Residential,109,24000,22.5,131.5,Available,409200,13%,2746800
14,3A,Building,19,19A04,Floor,Residential,107,27000,100,207,Available,2122200,38%,3466800
15,3A,Building,19,19A11,First,Residential,122,26000,0,122,Available,0,0%,3172000
16,3A,Building,19,19A12,First,Residential,109,23000,0,109,Available,0,0%,2507000
17,3A,Building,19,19A14,First,Residential,122,27000,0,122,Available,0,0%,3294000
18,3A,Building,19,19A21,Second,Residential,122,26000,0,122,Available,0,0%,3172000
19,3A,Building,19,19A22,Second,Residential,109,23000,0,109,Available,0,0%,2507000
20,3A,Building,19,19B01,Floor,Residential,107,24000,44.5,151.5,Available,811200,22%,2824800
21,3A,Building,19,19B02,Floor,Residential,109,23000,22.7,131.7,Available,396750,13%,2632350
22,3A,Building,19,19B03,Floor,Residential,109,23000,52,161,Available,945300,26%,2757700
23,3A,Building,19,19B04,Floor,Residential,107,24000,100,207,Available,1886400,38%,3081600
24,3A,Building,19,19B14,First,Residential,122,24000,0,122,Available,0,0%,2928000
25,3A,Building,19,19B23,Second,Residential,109,23000,0,109,Available,0,0%,2507000
26,3A,Building,19,19B24,Second,Residential,122,24000,0,122,Available,0,0%,2928000
27,3A,Building,19,19B33,Third,Residential,109,23000,0,109,Available,0,0%,2507000
28,3A,Building,19,19B34,Third,Residential,122,24000,0,122,Available,0,0%,2928000
29,3A,Building,19,19B43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000
30,3A,Building,19,19B44,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000
31,3A,Building,20,20A01,Floor,Residential,107,24000,88.5,195.5,Available,1738800,37%,2953200
32,3A,Building,20,20A02,Floor,Residential,109,23000,57.2,166.2,Available,1064900,28%,2757700
33,3A,Building,20,20A04,Floor,Residential,107,24000,45,152,Available,823200,23%,2824800
34,3A,Building,20,20A11,First,Residential,122,24000,0,122,Available,0,0%,2928000
35,3A,Building,20,20A12,First,Residential,109,23000,0,109,Available,0,0%,2507000
36,3A,Building,20,20A13,First,Residential,109,23000,0,109,Available,0,0%,2507000
37,3A,Building,20,20A21,Second,Residential,122,24000,0,122,Available,0,0%,2928000
38,3A,Building,20,20A22,Second,Residential,109,23000,0,109,Available,0,0%,2507000
39,3A,Building,20,20A23,Second,Residential,109,23000,0,109,Available,0,0%,2507000
40,3A,Building,20,20A32,Third,Residential,109,23000,0,109,Available,0,0%,2507000
41,3A,Building,20,20A33,Third,Residential,109,23000,0,109,Available,0,0%,2507000
42,3A,Building,20,20A41,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000
43,3A,Building,20,20A42,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000
44,3A,Building,20,20A43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000
45,3A,Building,20,20B01,Floor,Residential,107,24000,61.6,168.6,Available,1221600,30%,2824800
46,3A,Building,20,20B02,Floor,Residential,109,23000,26.5,135.5,Available,484150,16%,2632350
47,3A,Building,20,20B04,Floor,Residential,107,24000,104,211,Available,2110800,42%,2953200
48,3A,Building,20,20B12,First,Residential,109,23000,0,109,Available,0,0%,2507000
49,3A,Building,20,20B14,First,Residential,122,24000,0,122,Available,0,0%,2928000
50,3A,Building,20,20B22,Second,Residential,109,23000,0,109,Available,0,0%,2507000
51,3A,Building,20,20B23,Second,Residential,109,23000,0,109,Available,0,0%,2507000
52,3A,Building,20,20B24,Second,Residential,122,24000,0,122,Available,0,0%,2928000
53,3A,Building,20,20B33,Third,Residential,109,23000,0,109,Available,0,0%,2507000
54,3A,Building,20,20B34,Third,Residential,122,24000,0,122,Available,0,0%,2928000
55,3A,Building,20,20B43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000
56,3A,Building,20,20B44,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000
57,3A,Building,21,21A01,Floor,Residential,107,24000,110.5,217.5,Available,2266800,43%,2953200
58,3A,Building,21,21A02,Floor,Residential,109,23000,67.8,176.8,Available,1308700,32%,2757700
59,3A,Building,21,21A03,Floor,Residential,109,23000,34,143,Available,531300,16%,2757700
60,3A,Building,21,21A11,First,Residential,122,24000,0,122,Available,0,0%,2928000
61,3A,Building,21,21A12,First,Residential,109,23000,0,109,Available,0,0%,2507000
62,3A,Building,21,21A21,Second,Residential,122,24000,0,122,Available,0,0%,2928000
63,3A,Building,21,21A41,Fourth,Residential,122,24000,0,122,Available,0,0%,2928000
64,3A,Building,21,21A42,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000
65,3A,Building,21,21B01,Floor,Residential,107,24000,75.3,182.3,Available,1422000,33%,2953200
66,3A,Building,21,21B02,Floor,Residential,109,23000,34.5,143.5,Available,542800,16%,2757700
67,3A,Building,21,21B03,Floor,Residential,109,23000,62,171,Available,1175300,30%,2757700
68,3A,Building,21,21B04,Floor,Residential,107,24000,58,165,Available,1135200,29%,2824800
69,3A,Building,21,21B12,First,Residential,109,23000,0,109,Available,0,0%,2507000
70,3A,Building,21,21B13,First,Residential,109,23000,0,109,Available,0,0%,2507000
71,3A,Building,21,21B24,Second,Residential,122,24000,0,122,Available,0,0%,2928000
72,3A,Building,21,21B42,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000
73,3A,Building,21,21B43,Fourth,Residential,109,23000,0,109,Available,0,0%,2507000
74,1B,Building,22,22A03,Floor,Residential,192,23000,58.5,250.5,Available,683100,12%,5078400
75,1B,Building,22,22A04,Floor,Residential,192,23000,76.5,268.5,Available,1097100,18%,5078400
76,1B,Building,22,22A11,First,Residential,175,24000,0,175,Available,0,0%,4200000
77,1B,Building,22,22A14,First,Residential,192,23000,0,192,Available,0,0%,4416000
78,1B,Building,22,22A21,Second,Residential,175,24000,0,175,Available,0,0%,4200000
79,1B,Building,22,22A24,Second,Residential,192,23000,0,192,Available,0,0%,4416000
80,1B,Building,22,22A34,Third,Residential,192,23000,0,192,Available,0,0%,4416000
81,1B,Building,22,22A41,Fourth,Residential,175,24000,0,175,Available,0,0%,4200000
82,1B,Building,22,22A44,Fourth,Residential,192,23000,0,192,Available,0,0%,4416000
83,1B,Building,22,22B01,Floor,Residential,192,23000,48,240,Available,662400,12%,4857600
84,1B,Building,22,22B02,Floor,Residential,192,21000,160,352,Available,2755200,37%,4636800
85,1B,Building,22,22B04,Floor,Residential,175,24000,82,257,Available,1338000,22%,4830000
86,1B,Building,22,22B11,First,Residential,192,23000,0,192,Available,0,0%,4416000
87,1B,Building,22,22B12,First,Residential,192,21000,0,192,Available,0,0%,4032000
88,1B,Building,22,22B13,First,Residential,171,25000,0,171,Available,0,0%,4275000
89,1B,Building,22,22B14,First,Residential,175,24000,0,175,Available,0,0%,4200000
90,1B,Building,22,22B21,Second,Residential,192,23000,0,192,Available,0,0%,4416000
91,1B,Building,22,22B23,Second,Residential,171,25000,0,171,Available,0,0%,4275000
92,1B,Building,22,22B24,Second,Residential,175,24000,0,175,Available,0,0%,4200000
93,1B,Building,22,22B31,Third,Residential,192,23000,0,192,Available,0,0%,4416000
94,1B,Building,22,22B32,Third,Residential,192,21000,0,192,Available,0,0%,4032000
95,1B,Building,22,22B34,Third,Residential,175,24000,0,175,Available,0,0%,4200000
96,1B,Building,22,22B41,Fourth,Residential,192,23000,0,192,Available,0,0%,4416000
97,1B,Building,22,22B42,Fourth,Residential,192,21000,0,192,Available,0,0%,4032000
98,1B,Building,22,22B43,Fourth,Residential,171,25000,0,171,Available,0,0%,4275000
99,V1,Villa,1,01V01,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
100,V1,Villa,2,01V02,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
101,V1,Villa,3,01V03,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
102,V2,Villa,4,02V01,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
103,V2,Villa,5,02V02,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
104,V2,Villa,6,02V03,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
105,V3,Villa,7,03V01,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
106,V3,Villa,8,03V02,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
107,V3,Villa,9,03V03,Floor,Residential,122,25000,0,122,Available,0,0%,4275000
